data,data_ref,eixo_sentido,rota_principal,antecedencia,pax_atual,pax_referencia,diff_pax,grupos_atual,grupos_referencia,cash_atual,cash_referencia,gmv_atual,gmv_referencia,ticket_medio_atual,ticket_medio_referencia,lf_atual,lf_referencia,yield_atual,yield_referencia
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,25,2,3,-1,1,1,186.8,134.7,186.8,134.7,93.4,44.9,0.044,0.048,0.196,0.129
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,25,9,0,9,1,1,654.2,0.0,742.1,0.0,72.6888888888889,,0.183,0.0,0.167,
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,24,2,3,-1,1,1,186.8,134.7,186.8,134.7,93.4,44.9,0.044,0.048,0.196,0.129
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,24,9,0,9,1,1,654.2,0.0,742.1,0.0,72.6888888888889,,0.183,0.0,0.167,
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,23,9,2,7,1,1,654.2,141.8,742.1,141.8,72.6888888888889,70.9,0.183,0.043,0.167,0.149
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,23,2,3,-1,1,1,186.8,134.7,186.8,134.7,93.4,44.9,0.044,0.048,0.196,0.129
2026-06-06,2026-04-04,BSB-BHZ,BHZ-BSB,44,8,0,8,1,1,1279.62,0.0,1311.2,0.0,159.9525,,0.178,0.0,0.216,
2026-06-06,2026-04-04,BHZ-BSB,BHZ-BSB,44,1,4,-3,1,1,125.9,583.6,125.9,683.6,125.9,145.9,0.022,0.089,0.173,0.2
2026-06-06,2026-04-04,BHZ-BSB,BHZ-BSB,43,1,4,-3,1,1,125.9,583.6,125.9,683.6,125.9,145.9,0.022,0.089,0.173,0.2
2026-06-06,2026-04-04,BSB-BHZ,BHZ-BSB,43,8,0,8,1,1,1279.62,0.0,1311.2,0.0,159.9525,,0.178,0.0,0.216,
2026-06-06,2026-04-04,BSB-BHZ,BHZ-BSB,42,8,0,8,1,1,1279.62,0.0,1311.2,0.0,159.9525,,0.178,0.0,0.216,
2026-06-06,2026-04-04,BHZ-BSB,BHZ-BSB,42,1,4,-3,1,1,125.9,583.6,125.9,683.6,125.9,145.9,0.022,0.089,0.173,0.2
2026-06-06,2026-04-04,BHZ-BSB,BHZ-BSB,41,1,4,-3,1,1,125.9,583.6,125.9,683.6,125.9,145.9,0.022,0.089,0.173,0.2
2026-06-06,2026-04-04,BSB-BHZ,BHZ-BSB,41,8,0,8,1,1,1279.62,0.0,1311.2,0.0,159.9525,,0.178,0.0,0.216,
2026-06-06,2026-04-04,BHZ-BSB,BHZ-BSB,40,2,4,-2,1,1,251.8,583.6,251.8,683.6,125.9,145.9,0.044,0.089,0.173,0.2
